"","assay","gene","target_antibiotics_major","id","day","height","length","mean","std","n","se"
"105","AY601","blaOXA48","Beta Lactam","C",1,"top","quarter",8.90448844698279e-07,7.15326304315825e-07,2,5.05812080542831e-07
"106","AY126","blaSFO","Beta Lactam","D",1,"bottom","half",7.38014159988052e-05,8.32358702254729e-05,2,5.88566482743953e-05
"107","AY138","penA","Beta Lactam","D",1,"bottom","half",6.87333647597675e-06,9.32764686288453e-06,2,6.59564234925907e-06
"108","AY159","vanB_1","Vancomycin","D",1,"bottom","half",1.25017562688082e-05,1.02077694066264e-05,2,7.21798296821413e-06
"109","AY191","merA","Other","D",1,"bottom","half",0.00133404505284564,9.24684013791753e-06,3,5.33866564278012e-06
"110","AY198","crAss64","Other","D",1,"bottom","half",0.000208805435228462,0.000137665104872232,3,7.94809853560014e-05
"111","AY207","acrA_1","MDR","D",1,"bottom","half",3.60722091467394e-05,2.12038225422677e-06,2,1.49933667067137e-06
"112","AY208","emrD_1","MDR","D",1,"bottom","half",2.00613405065552e-06,5.36518156470391e-07,3,3.09758902063302e-07
"113","AY218","qacE∆1_1","Other","D",1,"bottom","half",0.00100310361768715,0.000153344927987446,3,8.85337354524159e-05
"114","AY224","oprD","MDR","D",1,"bottom","half",6.97940203901803e-05,6.83067978529853e-06,2,4.83001999629846e-06
"115","AY236","qacE∆1_3","Other","D",1,"bottom","half",0.00126769509877378,0.000184730609515532,3,0.000106654267131356
"116","AY24","strB","Aminoglycoside","D",1,"bottom","half",0.00671910014489786,0.000476104830896399,3,0.000274879252280517
"117","AY241","sul4","Sulfonamide","D",1,"bottom","half",0.00172132497773706,0.000343457422178046,3,0.00019829523514967
"118","AY244","sul3_1","Sulfonamide","D",1,"bottom","half",0.000873704291819249,0.000380890533104362,3,0.000219907251819583
"119","AY245","sul1_2","Sulfonamide","D",1,"bottom","half",0.00147292288082772,0.000202493271461253,3,0.000116909544787242
"120","AY254","tetA_2","Tetracycline","D",1,"bottom","half",0.000406373861021613,0.000206160165426553,3,0.000119026627005198
"121","AY263","tetW","Tetracycline","D",1,"bottom","half",0.00809991969871011,0.000531750049903277,3,0.000307006034453254
"122","AY268","tetC_2","Tetracycline","D",1,"bottom","half",8.82099755026281e-05,2.76363565153012e-05,2,1.95418550992585e-05
"123","AY284","dfrA1_1","Trimethoprim","D",1,"bottom","half",3.58617502560153e-05,3.15974171844952e-06,2,2.23427479591369e-06
"124","AY289","intI1_2","Integrons","D",1,"bottom","half",0.00447432071831602,0.000326112560543101,3,0.000188281174615677
"125","AY29","catB3","Phenicol","D",1,"bottom","half",6.30088681852281e-05,4.1365830409315e-05,3,2.38825733220704e-05
"126","AY293","intI1_1","Integrons","D",1,"bottom","half",0.00675395778374804,0.000979429519483478,3,0.000565473896726052
"127","AY300","tnpA_2","MGE","D",1,"bottom","half",0.0122808218715658,0.000905726032459344,3,0.000522921168652454
"128","AY309","ISPps","MGE","D",1,"bottom","half",0.0137968885832458,0.000440352450246166,3,0.000254237605687935
"129","AY328","aadA5_2","Aminoglycoside","D",1,"bottom","half",9.23817866308358e-05,4.12823983036103e-05,3,2.38344037733827e-05
"130","AY331","aadA2_3","Aminoglycoside","D",1,"bottom","half",0.00178710672643947,0.000111556825042734,3,6.44073629683624e-05
"131","AY339","blaCMY_2","Beta Lactam","D",1,"bottom","half",4.91137253912495e-05,4.37637612445923e-05,3,2.52670193353159e-05
"132","AY353","tolC_2","MDR","D",1,"bottom","half",9.31229678099068e-06,7.3875765627906e-06,2,5.22380548408404e-06
"133","AY365","sul2_2","Sulfonamide","D",1,"bottom","half",0.0026726446516346,0.000189379381535026,3,0.000109338236908212
"134","AY37","cmxA","Phenicol","D",1,"bottom","half",0.00311562097498887,9.04586407845471e-05,3,5.2226320607486e-05
"135","AY409","aadA16","Aminoglycoside","D",1,"bottom","half",0.000786476201197701,0.000350722028711846,3,0.000202489457687516
"136","AY410","aadA1_2","Aminoglycoside","D",1,"bottom","half",0.00226456903566567,0.000265659466998166,3,0.000153378564784163
"137","AY416","ant6-ib","Aminoglycoside","D",1,"bottom","half",0.00103636809588554,0.000411633115535703,3,0.000237656490061903
"138","AY418","aph(3'')-ia","Aminoglycoside","D",1,"bottom","half",0.000138738063401806,8.61893252685393e-05,2,6.09450563632772e-05
"139","AY432","blaCTX-M","Beta Lactam","D",1,"bottom","half",9.79221471612466e-07,1.8604691506067e-07,2,1.31555035258238e-07
"140","AY438","blaSHV11","Beta Lactam","D",1,"bottom","half",2.85930277403004e-06,3.7460395662461e-06,2,2.64884997988573e-06
"141","AY439","blaTEM","Beta Lactam","D",1,"bottom","half",6.71751031110552e-05,3.21802872935807e-05,3,1.85792975315483e-05
"142","AY457","qnrB4","Quinolone","D",1,"bottom","half",0.000336150664406339,0.000157753568640176,3,9.10790653200295e-05
"143","AY458","qnrB_2","Quinolone","D",1,"bottom","half",4.84660030857372e-05,4.86401189845551e-05,3,2.80823857891483e-05
"144","AY459","qnrD","Quinolone","D",1,"bottom","half",0.0114389384076341,0.00212464872414615,3,0.00122666651281917
"145","AY46","ermF_1","MLSB","D",1,"bottom","half",0.0263095653519297,0.00348744899764246,3,0.00201347961757397
"146","AY466","mcr1","Other","D",1,"bottom","half",7.08065722726846e-06,7.51418441402236e-06,2,5.31333075424148e-06
"147","AY487","cefa_qacelta","MDR","D",1,"bottom","half",0.00138129712008589,0.000206519015023283,3,0.000119233808916469
"148","AY489","qacF/H","MDR","D",1,"bottom","half",0.00136519598262062,0.000532785916830591,3,0.000307604092502583
"149","AY492","copA","MDR","D",1,"bottom","half",0.000147492438708216,8.28943796111624e-05,3,4.78590923828117e-05
"150","AY493","czcA","MDR","D",1,"bottom","half",0.000541941897204845,4.71355683402434e-05,3,2.72137330696455e-05
"151","AY495","pcoA","MDR","D",1,"bottom","half",4.94138237291966e-05,4.56038528922648e-05,2,3.22467936283542e-05
"152","AY528","ereA","MLSB","D",1,"bottom","half",0.000737596326953335,0.000192971694665114,2,0.000136451593874762
"153","AY533","ermB_2","MLSB","D",1,"bottom","half",0.00597653546317672,0.000118888474659561,3,6.86402928482415e-05
"154","AY536","lnuB","MLSB","D",1,"bottom","half",0.0048551368067059,0.000586916637228954,3,0.000338856478496007
"155","AY537","lnuC","MLSB","D",1,"bottom","half",0.000125443278889177,6.91925320630283e-05,3,3.99483270125012e-05
"156","AY538","mefA","MLSB","D",1,"bottom","half",0.00308967227498532,0.000526333423776823,3,0.000303878743901046
"157","AY545","ermC_2","MLSB","D",1,"bottom","half",9.76420939772323e-06,9.21437972559516e-06,3,5.3199246149878e-06
"158","AY553","msrE","MLSB","D",1,"bottom","half",0.117960550825098,0.0165990540606639,3,0.00958346833021744
"159","AY562","catQ","Phenicol","D",1,"bottom","half",0.000144105942755192,9.04922558354262e-05,3,5.22457282661598e-05
"160","AY566","floR","Phenicol","D",1,"bottom","half",0.000223858983912971,3.97883976741103e-05,3,2.29718421077715e-05
"161","AY572","tetG","Tetracycline","D",1,"bottom","half",0.00704192229515143,0.000857853166116762,3,0.000495281756382685
"162","AY574","tetM","Tetracycline","D",1,"bottom","half",0.00283956016216373,0.0010818512707366,3,0.000624607122382913
"163","AY111","cphA_1","Beta Lactam","E",1,"middle","half",0.00230712501132426,6.78375648636228e-05,2,4.796840213425e-05
"164","AY142","ttgB","Other","E",1,"middle","half",9.46626317101016e-05,3.87603138862667e-05,2,2.74076807898983e-05
"165","AY159","vanB_1","Vancomycin","E",1,"middle","half",1.02963751438801e-05,4.11181610827677e-06,3,2.37395813697183e-06
"166","AY191","merA","Other","E",1,"middle","half",0.00138109525454558,0.000404429794686345,3,0.000233497650830466
"167","AY198","crAss64","Other","E",1,"middle","half",0.000107005897386516,3.01655201252083e-05,3,1.74160711645341e-05
"168","AY207","acrA_1","MDR","E",1,"middle","half",2.94898441705204e-05,1.20537092132101e-05,3,6.9592122589803e-06
"169","AY218","qacE∆1_1","Other","E",1,"middle","half",0.00102864472399161,0.000102366595166341,3,5.91013812753124e-05
"170","AY224","oprD","MDR","E",1,"middle","half",9.01426675359609e-05,9.71742051629939e-05,2,6.87125394271658e-05
"171","AY236","qacE∆1_3","Other","E",1,"middle","half",0.001094633261364,0.000251571030100956,3,0.000145244601949099
"172","AY24","strB","Aminoglycoside","E",1,"middle","half",0.00586237795090372,0.000258515135174504,2,0.000182797805121248
"173","AY241","sul4","Sulfonamide","E",1,"middle","half",0.00141161902379108,0.000212163681027186,3,0.000122492758353308
"174","AY244","sul3_1","Sulfonamide","E",1,"middle","half",0.000927447433053385,6.21824905102196e-05,3,3.59010776349566e-05
"175","AY245","sul1_2","Sulfonamide","E",1,"middle","half",0.00135107382873639,0.000139868733937849,3,8.07532511902292e-05
"176","AY254","tetA_2","Tetracycline","E",1,"middle","half",0.000337768457184097,3.49671834844622e-05,3,2.01883127975573e-05
"177","AY263","tetW","Tetracycline","E",1,"middle","half",0.00675183285424786,0.000779326059649277,3,0.000449944110325
"178","AY268","tetC_2","Tetracycline","E",1,"middle","half",5.74343944154024e-05,8.13619968648369e-06,2,5.75316197140048e-06
"179","AY284","dfrA1_1","Trimethoprim","E",1,"middle","half",2.43317193222253e-05,8.7481254138089e-06,2,6.18585880277464e-06
"180","AY289","intI1_2","Integrons","E",1,"middle","half",0.00380730361783077,0.00054877413694328,3,0.000316834895688507
"181","AY29","catB3","Phenicol","E",1,"middle","half",2.07321556888582e-05,1.89298510847628e-05,3,1.09291546195073e-05
"182","AY293","intI1_1","Integrons","E",1,"middle","half",0.00690745689983472,0.00128088303055618,3,0.000739518162492036
"183","AY300","tnpA_2","MGE","E",1,"middle","half",0.00941111857373669,0.000986749473646298,3,0.000569700074232412
"184","AY309","ISPps","MGE","E",1,"middle","half",0.00857795367144697,0.000483628619799468,3,0.00027922311382903
"185","AY328","aadA5_2","Aminoglycoside","E",1,"middle","half",9.837852851807e-05,3.88970125068548e-05,3,2.24572006415049e-05
"186","AY331","aadA2_3","Aminoglycoside","E",1,"middle","half",0.00177024417210017,0.000174654499843687,3,0.000100836822499932
"187","AY353","tolC_2","MDR","E",1,"middle","half",1.15746449727922e-05,6.44056946498084e-06,2,4.55417034339097e-06
"188","AY365","sul2_2","Sulfonamide","E",1,"middle","half",0.00293803100870068,0.000392391029028814,3,0.00022654706623738
"189","AY37","cmxA","Phenicol","E",1,"middle","half",0.00274458833280073,0.000399637922796054,3,0.000230731062304685
"190","AY389","aph6-ia","Aminoglycoside","E",1,"middle","half",5.29532213669979e-05,7.78589341550972e-07,2,5.50545803170262e-07
"191","AY409","aadA16","Aminoglycoside","E",1,"middle","half",0.000783647613345256,0.000183543926492786,3,0.000105969135368731
"192","AY410","aadA1_2","Aminoglycoside","E",1,"middle","half",0.00228399085373302,0.000164559977918275,3,9.50087475489547e-05
"193","AY416","ant6-ib","Aminoglycoside","E",1,"middle","half",0.00101203158875625,0.000219650170018507,3,0.000126815084787732
"194","AY418","aph(3'')-ia","Aminoglycoside","E",1,"middle","half",0.000185027912075776,9.95161595066676e-05,3,5.74556814798923e-05
"195","AY432","blaCTX-M","Beta Lactam","E",1,"middle","half",1.47007993626482e-06,1.76222359976899e-06,2,1.24608025736362e-06
"196","AY457","qnrB4","Quinolone","E",1,"middle","half",0.000537345836656628,0.000102092874930571,2,7.21905641742366e-05
"197","AY458","qnrB_2","Quinolone","E",1,"middle","half",7.90684872050186e-05,2.90647382131149e-05,3,1.67805344312679e-05
"198","AY459","qnrD","Quinolone","E",1,"middle","half",0.00769028755556786,0.000269166666709004,3,0.000155403447481318
"199","AY46","ermF_1","MLSB","E",1,"middle","half",0.0221882012675109,0.00160824400258987,3,0.000928520107817862
"200","AY465","bacA","Other","E",1,"middle","half",2.68039552124692e-05,2.36166876685239e-06,2,1.6699519999578e-06
"201","AY466","mcr1","Other","E",1,"middle","half",1.97339637944132e-05,1.78186292035985e-05,3,1.02875903672877e-05
"202","AY487","cefa_qacelta","MDR","E",1,"middle","half",0.00115403808667834,5.04067476425467e-05,3,2.91023493203979e-05
"203","AY489","qacF/H","MDR","E",1,"middle","half",0.00112212007355476,0.00013877868193435,3,8.01239093725781e-05
"204","AY492","copA","MDR","E",1,"middle","half",0.000118379178333841,2.69659973958387e-05,3,1.55688258554542e-05
"205","AY493","czcA","MDR","E",1,"middle","half",0.000513222585520421,8.81717168488028e-05,3,5.09059644575677e-05
"206","AY495","pcoA","MDR","E",1,"middle","half",6.74997192558444e-05,3.00431576774854e-05,2,2.12437205220066e-05
"207","AY528","ereA","MLSB","E",1,"middle","half",0.000730635551132482,0.000488506680587776,3,0.000282039463538283
"208","AY533","ermB_2","MLSB","E",1,"middle","half",0.00554428293334551,0.000135857114116542,2,9.60654866642412e-05
"209","AY536","lnuB","MLSB","E",1,"middle","half",0.00505558789228182,0.000332383439273166,3,0.000191901668138536
"210","AY537","lnuC","MLSB","E",1,"middle","half",0.000128406424222855,4.17343569880828e-05,3,2.40953422415255e-05
"211","AY538","mefA","MLSB","E",1,"middle","half",0.00294394435988645,0.000302310428498299,3,0.000174539007272324
"212","AY545","ermC_2","MLSB","E",1,"middle","half",5.17534101814615e-06,3.62811943790618e-06,3,2.09469573412725e-06
"213","AY553","msrE","MLSB","E",1,"middle","half",0.12527570993637,0.0100791257273314,3,0.00581918595187088
"214","AY562","catQ","Phenicol","E",1,"middle","half",0.000211312366645877,2.8438128636444e-05,3,1.64187612235001e-05
"215","AY566","floR","Phenicol","E",1,"middle","half",0.000214347101447352,8.64830240876763e-05,3,4.99309972373528e-05
"216","AY572","tetG","Tetracycline","E",1,"middle","half",0.00605209445215716,0.000936848727250671,3,0.000540889864868133
"217","AY574","tetM","Tetracycline","E",1,"middle","half",0.00149941492871592,0.000259241573807204,3,0.000149673192422732
"218","AY595","vanA","Vancomycin","E",1,"middle","half",0.000150223627097341,5.52587051406343e-05,3,3.19036282880154e-05
"219","AY601","blaOXA48","Beta Lactam","E",1,"middle","half",5.84717312935122e-06,3.4345203293558e-06,3,1.98292123669081e-06
"220","AY111","cphA_1","Beta Lactam","F",1,"top","half",0.00171505982920366,0.000375232973039802,2,0.000265329779761233
"221","AY125","blaGES","Beta Lactam","F",1,"top","half",1.98498321346018e-05,1.47883544020071e-05,2,1.04569456802491e-05
"222","AY126","blaSFO","Beta Lactam","F",1,"top","half",1.12266045542507e-05,8.08615358324769e-06,3,4.66854294799671e-06
"223","AY142","ttgB","Other","F",1,"top","half",0.000157124908430715,4.55985800572443e-05,3,2.63263524707147e-05
"224","AY191","merA","Other","F",1,"top","half",0.00227724387347028,0.000443269377645285,3,0.000255921694507023
"225","AY198","crAss64","Other","F",1,"top","half",0.000220374632806372,5.24377928416094e-05,3,3.0274973812813e-05
"226","AY207","acrA_1","MDR","F",1,"top","half",2.43073477624032e-05,1.18802178629279e-05,2,8.4005826128499e-06
"227","AY218","qacE∆1_1","Other","F",1,"top","half",0.00123831732493187,0.000137684009052573,3,7.94918996896097e-05
"228","AY236","qacE∆1_3","Other","F",1,"top","half",0.00133049420123965,0.000321140590688463,3,0.0001854106064817
"229","AY24","strB","Aminoglycoside","F",1,"top","half",0.00651812289541808,0.000894375541849128,3,0.000516367959843212
"230","AY241","sul4","Sulfonamide","F",1,"top","half",0.0016342117500809,0.000296190429839222,3,0.000171005624399066
